,ar,de,ja,ko,es,zh,ru,en,fr
Average Words per Sample,109.0,31.62056074766355,64.19434628975264,29.33582089552239,49.719424460431654,48.67407407407408,36.047154471544715,48.13343328335832,49.19471153846154
Lexical Diversity,0.33647408876766677,0.29774782762901225,0.20355589805691637,0.5585092851691682,0.24622582356629527,0.34941409222340586,0.3558572781812441,0.19271141566734154,0.2369899828976301
