,Correlation,P-value
ar,-0.7848936103818325,1.3879151183081681e-115
en,-0.47426450342210813,3.416281836999641e-32
zh,-0.4992655122754976,5.186239840135547e-36
de,-0.5365261390540489,2.5333378825858592e-42
ko,-0.565667472876662,7.746836341429152e-48
es,-0.6724017485132809,1.2667493248295656e-73
ja,-0.5377652523367046,1.5137726038650816e-42
ru,-0.5602300768733411,9.1150304656333e-47
fr,-0.7278385413156896,7.726423090933127e-92
